RouteDataID,Route,RouteName,RouteTypeID,RouteTypeDetailID,Active,AOU,CountryNum,StateNum,RPID,Stratum,BCR,Month,Day,Year,StartTime,EndTime,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal,RecordedCar,TotalCarObs,NoiseDetected,Seq,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,scientific_name,State_Trend,BCR_trend,NearestStation,DATE_YYYYMMDD,PRCP,TMAX,TMIN,geometry,
6165840,313,MOUNT ZION,1,1,1,4230,840,83,101,6,21,6,1,2003,620,1132,0,0,1,0,1,2,2,1,19,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXAS0025,20030601,NA,NA,NA,c(-96.0804439, 29.7269807)
6165840,313,MOUNT ZION,1,1,1,4200,840,83,101,6,21,6,1,2003,620,1132,0,1,4,3,1,7,9,1,19,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXAS0025,20030601,NA,NA,NA,c(-96.0804439, 29.7269807)
6165844,321,FRED,1,1,1,4200,840,83,101,3,25,6,1,2003,551,1048,1,0,0,0,0,1,1,1,15,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXTR0012,20030601,NA,NA,NA,c(-94.1845047, 30.5957539)
6165844,321,FRED,1,1,1,4230,840,83,101,3,25,6,1,2003,551,1048,0,0,0,4,2,3,6,1,15,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXTR0012,20030601,NA,NA,NA,c(-94.1845047, 30.5957539)
6165848,331,TOYAHVALE,1,1,1,4200,840,83,101,81,35,5,26,2003,621,1037,0,0,0,1,0,1,1,1,106,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USC00410497,20030526,NA,NA,NA,c(-103.9442869, 30.8111277)
6165852,336,BONNER,1,1,1,4230,840,83,101,8,21,6,21,2003,551,1122,0,1,0,0,0,1,1,1,63,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXFT0003,20030621,NA,NA,NA,c(-96.2228399, 31.8611947)
6165852,336,BONNER,1,1,1,4200,840,83,101,8,21,6,21,2003,551,1122,1,0,0,0,0,1,1,1,63,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXFT0003,20030621,NA,NA,NA,c(-96.2228399, 31.8611947)
6165855,10,COLDWATER,1,1,1,4200,840,38,101,34,19,6,10,2003,546,1020,5,12,2,1,2,14,22,1,0,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSCM0009,20030610,NA,NA,NA,c(-99.2722929, 37.1645227)
6165857,343,MENTONE,1,1,0,4200,840,83,101,56,18,6,28,2003,619,1204,8,2,0,0,0,6,10,1,57,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USC00415827,20030628,0,NA,NA,c(-103.5995099, 31.7050087)
6165859,11,ASHLAND,1,1,1,4200,840,38,101,34,19,5,30,2003,545,954,6,2,2,0,0,7,10,1,20,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSCA0009,20030530,NA,NA,NA,c(-99.7413179, 37.1334087)
6165861,12,LAKIN,1,1,1,4200,840,38,101,36,18,6,16,2003,555,1016,0,0,0,3,0,2,3,1,51,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,US1KSKE0013,20030616,NA,NA,NA,c(-101.4316489, 37.9589257)
6165863,345,SIERRA BLANC,1,1,1,4200,840,83,101,56,35,6,13,2003,527,933,0,2,0,0,0,2,2,1,3,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXHDS010,20030613,NA,NA,NA,c(-105.3339159, 31.2076027)
6165867,353,HAWLEY,1,1,1,4230,840,83,101,54,19,7,5,2003,600,1020,4,0,0,0,0,1,4,1,32,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,USC00419154,20030705,NA,NA,NA,c(-99.8104549, 32.5914336)
6165867,353,HAWLEY,1,1,1,4200,840,83,101,54,19,7,5,2003,600,1020,6,0,1,0,0,3,7,1,32,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Increasing,USC00419154,20030705,NA,NA,NA,c(-99.8104549, 32.5914336)
6165869,20,ALBERT,1,1,1,4200,840,38,101,34,19,6,11,2003,539,920,1,0,0,0,0,1,1,1,42,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,USC00140117,20030611,NA,NA,NA,c(-98.9776363, 38.4636553)
6165869,20,ALBERT,1,1,1,4230,840,38,101,34,19,6,11,2003,539,920,0,0,0,0,2,1,2,1,42,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00140117,20030611,NA,NA,NA,c(-98.9776363, 38.4636553)
6165871,355,TENMILE,1,1,1,4200,840,83,101,55,18,6,29,2003,620,1215,6,5,5,0,0,11,16,1,12,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USC00415013,20030629,0,33.9,18.9,c(-101.9072519, 32.5696495)
6165873,21,KANOPOLIS,1,1,1,4200,840,38,101,34,19,6,30,2003,539,1027,19,4,1,10,3,19,37,1,10,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSEW0018,20030630,NA,NA,NA,c(-98.0351929, 38.5515107)
6165873,21,KANOPOLIS,1,1,1,4230,840,38,101,34,19,6,30,2003,539,1027,1,0,0,0,0,1,1,1,10,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1KSEW0018,20030630,NA,NA,NA,c(-98.0351929, 38.5515107)
6165880,363,GIRARD,1,1,1,4230,840,83,101,54,19,5,23,2003,601,1042,0,0,1,0,0,1,1,1,11,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,USC00414570,20030523,0,23.9,14.4,c(-100.6989509, 33.3563297)
6165880,363,GIRARD,1,1,1,4200,840,83,101,54,19,5,23,2003,601,1042,8,9,0,3,1,16,21,1,11,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Increasing,USC00414570,20030523,0,23.9,14.4,c(-100.6989509, 33.3563297)
6165882,30,HOLLENBERG,1,1,1,4200,840,38,101,34,19,6,9,2003,532,1005,6,0,0,0,2,6,8,1,19,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSWS0005,20030609,NA,NA,NA,c(-97.0124144, 39.9367553)
6165884,373,DALHART,1,1,1,4200,840,83,101,55,18,6,17,2003,606,1010,1,2,4,0,0,6,7,0,0,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USC00412239,20030617,NA,NA,NA,c(-102.5674219, 35.9930757)
6165886,35,LOGAN,1,1,1,4200,840,38,101,34,19,6,12,2003,543,1026,4,0,0,0,0,2,4,1,25,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,USC00144775,20030612,20.1,NA,NA,c(-99.6464549, 39.7266067)
6165888,901,L. ATASCOSA NWR,1,2,1,4200,840,83,101,7,37,6,18,2003,607,1300,18,6,10,0,1,14,35,1,0,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,USR0000TLAG,20030618,NA,33.3,22.2,c(-97.3490589, 26.2449087)
6165890,36,GOVE,1,1,1,4200,840,38,101,34,19,6,25,2003,547,1032,1,3,1,0,1,6,6,1,17,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSGO0013,20030625,NA,NA,NA,c(-100.2439639, 38.9009177)
6165911,6,WELLINGTON,1,1,1,4230,840,38,101,35,19,6,1,2003,538,946,0,0,3,0,2,3,5,1,195,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1KSSU0026,20030601,NA,NA,NA,c(-97.349158, 37.3190352)
6165911,6,WELLINGTON,1,1,1,4200,840,38,101,35,19,6,1,2003,538,946,4,0,0,0,0,4,4,1,195,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSSU0026,20030601,NA,NA,NA,c(-97.349158, 37.3190352)
6165921,312,Goessel,1,1,1,4200,840,38,101,35,19,6,7,2003,535,943,2,0,0,0,0,1,2,1,45,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSHV0048,20030607,NA,NA,NA,c(-97.2078887, 38.2039494)
6165921,312,Goessel,1,1,1,4230,840,38,101,35,19,6,7,2003,535,943,0,0,1,0,4,2,5,1,45,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1KSHV0048,20030607,NA,NA,NA,c(-97.2078887, 38.2039494)
6165923,23,HAYS,1,1,1,4200,840,38,101,34,19,6,13,2003,543,1032,4,0,0,0,2,6,6,1,2,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSEL0002,20030613,NA,NA,NA,c(-99.4663929, 38.8417547)
6165925,313,Susank,1,1,1,4200,840,38,101,34,19,6,28,2003,539,1051,6,0,0,0,2,6,8,1,0,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSRS0004,20030628,NA,NA,NA,c(-98.7751403, 38.6813229)
6165927,24,WALLACE,1,1,1,6160,840,38,101,36,18,6,5,2003,451,1038,0,0,0,13,0,2,13,1,7,0,931,Bank Swallow,Hirondelle de rivage,Passeriformes,Hirundinidae,Riparia,riparia,Riparia riparia,NA,Increasing,US1KSWA0010,20030605,NA,NA,NA,c(-101.6508259, 38.7278307)
6165931,321,Damar,1,1,1,4200,840,38,101,34,19,6,27,2003,540,1040,8,1,0,3,2,10,14,1,13,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSRO0001,20030627,NA,NA,NA,c(-99.269502, 39.3355726)
6165933,31,MINNEAPOLIS,1,1,1,4200,840,38,101,34,19,6,24,2003,535,940,3,1,0,0,0,4,4,1,11,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,USC00140745,20030624,NA,NA,NA,c(-97.6123773, 39.1902871)
6165935,322,Rexford,1,1,1,4230,840,38,101,34,19,5,29,2003,544,954,0,0,1,0,0,1,1,0,0,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00146787,20030529,0,NA,NA,c(-100.6458939, 39.4951963)
6165938,118,SOLOMON,1,1,1,4200,840,38,101,33,19,6,22,2003,535,927,1,0,0,0,1,2,2,1,11,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,USC00147566,20030622,NA,NA,NA,c(-97.3687519, 38.9147327)
6165938,118,SOLOMON,1,1,1,4230,840,38,101,33,19,6,22,2003,535,927,0,0,0,0,2,1,2,1,11,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00147566,20030622,NA,NA,NA,c(-97.3687519, 38.9147327)
6165945,306,Hodges,1,1,1,4200,840,38,101,34,19,6,14,2003,546,1004,8,0,0,0,0,3,8,1,4,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Increasing,US1KSED0010,20030614,NA,NA,NA,c(-99.3855484, 37.8256648)
6165945,306,Hodges,1,1,1,4230,840,38,101,34,19,6,14,2003,546,1004,0,0,0,1,0,1,1,1,4,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1KSED0010,20030614,NA,NA,NA,c(-99.3855484, 37.8256648)
6165950,316,Leoti,1,1,1,4200,840,38,101,36,18,6,29,2003,556,1115,0,0,0,5,0,3,5,1,6,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,US1KSWH0008,20030629,NA,NA,NA,c(-101.3590971, 38.1914654)
6165954,323,Winona,1,1,1,4200,840,38,101,36,18,6,11,2003,548,1043,0,0,0,2,3,5,5,1,1,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,US1KSSH0032,20030611,NA,NA,NA,c(-101.727883, 39.1195241)
6165982,16,DE RIDDER,1,1,1,4200,840,42,101,3,25,6,9,2003,541,958,1,0,0,0,0,1,1,1,54,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,US1LABG0005,20030609,NA,NA,NA,c(-93.3184289, 30.8315727)
6165982,16,DE RIDDER,1,1,1,4230,840,42,101,3,25,6,9,2003,541,958,2,0,0,0,0,1,2,1,54,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1LABG0005,20030609,NA,NA,NA,c(-93.3184289, 30.8315727)
6165988,15,HACKBERRY,1,1,0,4200,840,42,101,6,37,6,20,2003,542,1108,3,0,0,0,0,2,3,0,0,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,USC00163981,20030620,0,NA,NA,c(-93.3426979, 30.0082047)
6165989,26,CLAY,1,1,1,4230,840,42,101,4,25,6,12,2002,532,956,1,1,2,1,6,8,11,1,80,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00168067,20020612,0,31.7,21.1,c(-92.6215889, 32.4602687)
6165992,20,FISHVILLE,1,1,0,4230,840,42,101,4,25,5,30,2002,535,941,0,3,4,6,1,9,14,1,192,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00164209,20020530,NA,NA,NA,c(-92.29532, 31.46457)
6165994,26,CLAY,1,1,1,4230,840,42,101,4,25,6,13,2003,532,949,1,0,0,1,1,3,3,1,93,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00168067,20030613,40.1,25.6,17.8,c(-92.6215889, 32.4602687)
6165996,31,ESTHER,1,1,1,4230,840,42,101,6,37,6,10,2003,540,1000,3,0,4,5,0,4,12,1,84,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00162954,20030610,NA,NA,NA,c(-92.2329247, 29.8458497)
6165997,20,FISHVILLE,1,1,0,4230,840,42,101,4,25,5,30,2003,535,956,0,2,1,2,1,6,6,1,219,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00164209,20030530,NA,NA,NA,c(-92.29532, 31.46457)
6166000,34,MAURICE,1,1,1,4230,840,42,101,6,37,6,13,2003,537,1105,1,2,1,0,1,4,5,0,0,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00163930,20030613,NA,NA,NA,c(-92.4508969, 30.0808747)
6166001,23,MER ROUGE,1,1,0,4230,840,42,101,5,25,6,7,2003,528,1015,0,0,3,0,0,2,3,1,54,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1LAMR0005,20030607,NA,NA,NA,c(-91.7299813, 32.7618191)
6166005,30,GLENCOE,1,1,1,4230,840,42,101,6,37,5,29,2002,536,950,0,0,0,1,2,2,3,1,158,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1LAIB0006,20020529,NA,NA,NA,c(-91.8769586, 29.7156229)
6166010,30,GLENCOE,1,1,1,4230,840,42,101,6,37,5,29,2003,536,1010,0,0,0,0,1,1,1,1,269,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,US1LAIB0006,20030529,NA,NA,NA,c(-91.8769586, 29.7156229)
6166010,30,GLENCOE,1,1,1,4200,840,42,101,6,37,5,29,2003,536,1010,1,0,0,0,0,1,1,1,269,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,NA,Decreasing,US1LAIB0006,20030529,NA,NA,NA,c(-91.8769586, 29.7156229)
6166012,59,ZWOLLE,1,1,1,4230,840,42,101,4,25,6,17,2003,539,1019,6,0,2,7,0,7,15,0,0,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,NA,Decreasing,USC00166202,20030617,NA,NA,NA,c(-93.6603126, 31.4575093)
6166014,139,WALBURG,1,1,1,4230,840,83,101,8,21,5,25,2003,557,1014,0,0,0,1,1,2,2,1,36,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXWM0205,20030525,NA,NA,NA,c(-97.5857079, 30.6915827)
6166014,139,WALBURG,1,1,1,4200,840,83,101,8,21,5,25,2003,557,1014,12,9,4,5,1,20,31,1,36,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXWM0205,20030525,NA,NA,NA,c(-97.5857079, 30.6915827)
6166018,140,DRIPPING SPG,1,1,1,4230,840,83,101,53,20,5,24,2003,601,1020,0,3,0,0,0,2,3,1,39,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXHYS206,20030524,NA,NA,NA,c(-98.0582098, 30.2495701)
6166018,140,DRIPPING SPG,1,1,1,4200,840,83,101,53,20,5,24,2003,601,1020,2,0,0,0,1,3,3,1,39,0,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXHYS206,20030524,NA,NA,NA,c(-98.0582098, 30.2495701)
6166020,136,HEARNE,1,1,1,4230,840,83,101,8,21,5,31,2003,553,1005,0,3,0,3,0,2,6,1,97,0,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,US1TXMLM039,20030531,NA,NA,NA,c(-96.7200416, 30.7618885)
6166024,302,LOYOLA BEACH,1,1,0,4200,840,83,101,7,37,6,6,2003,612,1023,48,9,1,0,7,21,65,1,364,1,164,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,Decreasing,Decreasing,US1TXKL0007,20030606,NA,NA,NA,c(-97.695112, 27.3477527)
6166025,273,BLUE RIDGE,1,1,1,4230,840,83,101,8,21,6,18,2003,546,1033,0,0,0,2,0,1,2,1,55,1,186,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,Decreasing,Decreasing,USC00419859,20030618,2,NA,NA,c(-96.0651288, 33.3677874)
